@RELATION fullstop

             @ATTRIBUTE three_before_numeric {TRUE, FALSE}

             @ATTRIBUTE two_before_type {fullstop, numeric, other}

             @ATTRIBUTE two_after_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_after_type {lower, capital_common, np, comma, fullstop, numeric, quotes, other}

             @ATTRIBUTE one_before_type {title, abbrev, internal, quotes, time, other}

             @ATTRIBUTE one_before_contains_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_before_capitals integer

             @ATTRIBUTE one_after_length integer

             @ATTRIBUTE one_before_length integer

             @ATTRIBUTE words_since_EOS integer

             @ATTRIBUTE words_until_EOS integer

             @ATTRIBUTE spaces_following integer

             @ATTRIBUTE class {EOS, NEOS}

             @DATA
FALSE,other,FALSE,capital_common,other,FALSE,0,4,4,163,26,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,4,113,61,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,8,77,104,2,EOS
FALSE,fullstop,FALSE,other,other,FALSE,1,8,1,191,62,2,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,6,30,84,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,4,28,20,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,9,49,118,1,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,8,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,2,7,2,15,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,9,3,16,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,13,134,136,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,5,111,0,0,EOS
FALSE,other,FALSE,other,title,FALSE,1,4,3,52,2,1,NEOS
FALSE,fullstop,FALSE,other,other,FALSE,1,10,1,14,53,1,NEOS
FALSE,other,FALSE,other,other,FALSE,1,7,1,21,12,1,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,1,6,3,15,82,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,4,4,0,0,EOS
FALSE,other,FALSE,other,other,FALSE,1,1,4,45,29,0,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,3,7,50,1,EOS
FALSE,other,TRUE,other,title,FALSE,1,7,2,7,49,1,NEOS
FALSE,other,FALSE,np,other,FALSE,0,3,5,3,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,9,69,0,0,EOS
FALSE,other,FALSE,other,other,FALSE,0,7,6,28,5,1,EOS
