@RELATION fullstop

             @ATTRIBUTE length integer 

             @ATTRIBUTE dist_BOS integer 

             @ATTRIBUTE init_spaces integer 

             @ATTRIBUTE init_tabs integer 

             @ATTRIBUTE class {NNHEAD, QUOTED, SIG, TABLE, GRAPHIC, HEADL, ADDRESS, ITEM, PTEXT}

             @DATA
55,31,0,0,SIG
76,14,0,0,NNHEAD
31,14,0,0,NNHEAD
48,14,0,0,NNHEAD
45,14,0,0,NNHEAD
40,14,0,0,NNHEAD
34,14,0,0,NNHEAD
38,14,0,0,NNHEAD
27,14,0,0,NNHEAD
30,14,0,0,NNHEAD
27,14,0,0,NNHEAD
23,14,0,0,NNHEAD
9,14,0,0,NNHEAD
61,14,0,0,NNHEAD
37,14,0,0,NNHEAD
50,2,0,1,HEADL
50,2,0,1,HEADL
38,1,0,0,PTEXT
68,7,0,1,GRAPHIC
68,7,0,1,GRAPHIC
68,7,0,1,GRAPHIC
68,7,0,1,GRAPHIC
68,7,0,1,GRAPHIC
68,7,0,1,GRAPHIC
62,7,0,1,GRAPHIC
33,1,0,0,PTEXT
78,3,0,0,PTEXT
12,3,0,0,PTEXT
87,4,0,0,PTEXT
10,2,0,0,PTEXT
43,2,15,0,PTEXT
57,13,0,0,NNHEAD
31,13,0,0,NNHEAD
29,13,0,0,NNHEAD
47,13,0,0,NNHEAD
26,13,0,0,NNHEAD
37,13,0,0,NNHEAD
56,13,0,0,NNHEAD
28,13,0,0,NNHEAD
30,13,0,0,NNHEAD
19,13,0,0,NNHEAD
39,13,0,0,NNHEAD
9,13,0,0,NNHEAD
41,13,0,0,NNHEAD
68,4,0,0,PTEXT
68,4,0,0,PTEXT
69,4,0,0,PTEXT
14,4,0,0,PTEXT
10,6,0,0,PTEXT
25,6,0,0,PTEXT
74,7,0,0,GRAPHIC
27,20,0,0,TABLE
29,20,0,0,TABLE
20,20,0,0,TABLE
34,20,0,0,TABLE
18,20,0,0,TABLE
17,20,0,0,TABLE
17,20,0,0,TABLE
17,20,0,0,TABLE
17,20,0,0,TABLE
28,20,0,0,TABLE
20,20,0,0,TABLE
18,20,0,0,TABLE
21,20,0,0,TABLE
74,21,0,0,GRAPHIC
73,16,0,0,NNHEAD
31,16,0,0,NNHEAD
45,16,0,0,NNHEAD
53,16,0,0,NNHEAD
45,16,0,0,NNHEAD
43,16,0,0,NNHEAD
38,16,0,0,NNHEAD
27,16,0,0,NNHEAD
30,16,0,0,NNHEAD
31,16,0,0,NNHEAD
19,16,0,0,NNHEAD
40,16,0,0,NNHEAD
9,16,0,0,NNHEAD
66,16,0,0,NNHEAD
40,16,0,0,NNHEAD
25,16,0,0,NNHEAD
38,3,33,0,HEADL
50,3,23,0,HEADL
45,3,28,0,HEADL
72,7,0,0,PTEXT
78,7,0,0,PTEXT
78,7,0,0,PTEXT
79,7,0,0,PTEXT
79,7,0,0,PTEXT
79,7,0,0,PTEXT
20,7,0,0,PTEXT
75,15,0,0,PTEXT
72,15,0,0,PTEXT
76,15,0,0,PTEXT
79,15,0,0,PTEXT
77,15,0,0,PTEXT
77,15,0,0,PTEXT
79,15,0,0,PTEXT
44,15,0,0,PTEXT
79,20,0,0,PTEXT
76,20,0,0,PTEXT
76,20,0,0,PTEXT
78,20,0,0,PTEXT
22,20,0,0,PTEXT
45,26,23,0,ADDRESS
45,26,23,0,ADDRESS
53,26,23,0,ADDRESS
44,26,23,0,ADDRESS
40,26,23,0,ADDRESS
39,26,23,0,ADDRESS
76,28,0,0,PTEXT
48,28,0,0,PTEXT
56,12,0,0,NNHEAD
30,12,0,0,NNHEAD
28,12,0,0,NNHEAD
52,12,0,0,NNHEAD
28,12,0,0,NNHEAD
44,12,0,0,NNHEAD
30,12,0,0,NNHEAD
40,12,0,0,NNHEAD
8,12,0,0,NNHEAD
19,12,0,0,NNHEAD
42,12,0,0,NNHEAD
37,12,0,0,NNHEAD
68,20,0,0,PTEXT
69,20,0,0,PTEXT
66,20,0,0,PTEXT
70,20,0,0,PTEXT
70,20,0,0,PTEXT
68,20,0,0,PTEXT
70,20,0,0,PTEXT
11,20,0,0,PTEXT
56,12,0,0,NNHEAD
31,12,0,0,NNHEAD
28,12,0,0,NNHEAD
52,12,0,0,NNHEAD
28,12,0,0,NNHEAD
40,12,0,0,NNHEAD
30,12,0,0,NNHEAD
40,12,0,0,NNHEAD
10,12,0,0,NNHEAD
19,12,0,0,NNHEAD
42,12,0,0,NNHEAD
37,12,0,0,NNHEAD
46,13,0,0,PTEXT
54,105,0,0,TABLE
56,105,17,0,TABLE
55,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
54,105,0,0,TABLE
